arrivals,timely_completions,late_completions,rejections,timeouts,sla_violation_fraction,rejection_rate,timeout_rate,p95_response_time_ms,algorithm,seed,trace,mean_reward,instance_seconds,drain_instance_seconds,scaling_actions,forecast_mae_rps,forecast_rmse_rps,startup_arrivals,startup_violations,startup_violation_rate,startup_violation_cohort_fraction
375501,270177,103696,0,1628,0.2804892663401695,0.0,0.004335541050489879,9734.828691534834,Predictive Q-Learning,44,ramp,0.07158328233219098,5820.0,40.0,4,73.45650110393719,87.24507704105696,43451,26108,0.6008607396837817,0.0695284433330404
277185,103630,122125,0,51430,0.6261341703194617,0.0,0.18554395079098795,9997.92665947416,Predictive Q-Learning,44,recurring,-1.1232373893624203,3720.0,40.0,4,108.30680695729284,134.93489701639376,38991,31958,0.8196250416762842,0.11529483918682469
362223,197619,90237,18621,55746,0.4544272450948725,0.051407558327328746,0.15389966954058687,9997.64831757537,Predictive Q-Learning,44,burst,-0.16085576858866657,5760.0,40.0,6,152.92802631687172,212.7385732023927,110642,81534,0.7369172646915276,0.22509338170132764
375501,375501,0,0,0,0.0,0.0,0.0,42.702411595314516,Predictive Q-Learning,55,ramp,1.066625,6420.0,30.0,5,73.45650110393719,87.24507704105696,28003,0,0.0,0.0
277185,226145,50265,0,775,0.1841369482475603,0.0,0.0027959665927088408,8554.955629085143,Predictive Q-Learning,55,recurring,0.3358629221944782,6600.0,50.0,9,108.30680695729284,134.93489701639376,58913,24374,0.41372871861898053,0.08793405126540037
362223,197456,114763,17926,32078,0.4548772441286169,0.04948885079081119,0.08855870554879176,9995.929058413298,Predictive Q-Learning,55,burst,-0.2711594015535436,6360.0,50.0,9,152.92802631687172,212.7385732023927,90572,40933,0.45193878902972223,0.11300497207521333
375501,364493,11008,0,0,0.029315501157120755,0.0,0.0,83.05522991372527,Threshold baseline,11,ramp,0.9424023922404259,5760.0,50.0,3,73.45650110393719,87.24507704105696,51418,10534,0.20486988992181726,0.028053187608022348
277185,136005,108528,0,32652,0.5093349207208182,0.0,0.11779858217436008,9996.585599491198,Threshold baseline,11,recurring,-0.6112618989311526,5040.0,40.0,8,108.30680695729284,134.93489701639376,90200,76744,0.850820399113082,0.27686923895593196
362223,109934,148978,19003,84308,0.6965018786769476,0.05246215728984631,0.23275164746578764,9998.520065538041,Threshold baseline,11,burst,-1.0865147562891486,4740.0,30.0,7,152.92802631687172,212.7385732023927,125732,125085,0.9948541341901823,0.34532594561913516
375501,364493,11008,0,0,0.029315501157120755,0.0,0.0,83.05522991372527,Threshold baseline,22,ramp,0.9424023922404259,5760.0,50.0,3,73.45650110393719,87.24507704105696,51418,10534,0.20486988992181726,0.028053187608022348
