algorithm,seed,episode,mean_reward,epsilon
Expected SARSA,11,16,-0.2664042316602963,0.050000000000000044
Expected SARSA,11,17,-0.08122534526517027,0.050000000000000044
Expected SARSA,11,18,0.6241994655004859,0.050000000000000044
Expected SARSA,11,19,0.5335031854662676,0.050000000000000044
Expected SARSA,11,20,0.2579720235125585,0.050000000000000044
Expected SARSA,22,1,-2.903212683664929,0.9429503916449086
Expected SARSA,22,2,-0.2876825355472608,0.883420365535248
Expected SARSA,22,3,0.6224246375357576,0.8238903394255874
Expected SARSA,22,4,-0.7119364116570606,0.7643603133159269
Expected SARSA,22,5,-0.6505341861071362,0.7048302872062664
Expected SARSA,22,6,-0.11341169422556303,0.6453002610966058
Expected SARSA,22,7,-0.5551935258008306,0.5857702349869451
Expected SARSA,22,8,-1.4750764539544343,0.5262402088772846
Expected SARSA,22,9,-0.4148822828474639,0.466710182767624
Expected SARSA,22,10,0.5122181907271859,0.4071801566579635
Expected SARSA,22,11,-0.8171995312647916,0.34765013054830296
Expected SARSA,22,12,-1.6627732248729759,0.28812010443864233
Expected SARSA,22,13,-0.8827254849786424,0.22859007832898182
Expected SARSA,22,14,-0.29076191361815734,0.1690600522193212
Expected SARSA,22,15,0.19374171305376878,0.10953002610966056
Expected SARSA,22,16,-0.9487623275787187,0.050000000000000044
Expected SARSA,22,17,-1.84420506854752,0.050000000000000044
Expected SARSA,22,18,-0.04521627075143275,0.050000000000000044
Expected SARSA,22,19,-1.0881436182191313,0.050000000000000044
Expected SARSA,22,20,-1.6951254063640897,0.050000000000000044
Expected SARSA,33,1,-1.6260985142320183,0.9429503916449086
Expected SARSA,33,2,0.569984886819277,0.883420365535248
Expected SARSA,33,3,0.7966786821947464,0.8238903394255874
Expected SARSA,33,4,-0.2851455557051511,0.7643603133159269
Expected SARSA,33,5,-0.31001101787334645,0.7048302872062664
Expected SARSA,33,6,-0.257754889025707,0.6453002610966058
Expected SARSA,33,7,-1.924727923509898,0.5857702349869451
Expected SARSA,33,8,-0.7026076013551784,0.5262402088772846
Expected SARSA,33,9,-0.05710742982991457,0.466710182767624
Expected SARSA,33,10,0.09021579182612734,0.4071801566579635
Expected SARSA,33,11,-1.6821069669778403,0.34765013054830296
Expected SARSA,33,12,0.005201175869685937,0.28812010443864233
Expected SARSA,33,13,0.5786473056983646,0.22859007832898182
Expected SARSA,33,14,-0.6451294344026453,0.1690600522193212
Expected SARSA,33,15,-0.38841039022489426,0.10953002610966056
Expected SARSA,33,16,-0.48123217465131085,0.050000000000000044
Expected SARSA,33,17,0.4948407486882614,0.050000000000000044
Expected SARSA,33,18,0.09460075976411547,0.050000000000000044
Expected SARSA,33,19,1.1583125,0.050000000000000044
Expected SARSA,33,20,0.14324937631673254,0.050000000000000044
Expected SARSA,44,1,-0.261653507808916,0.9429503916449086
Expected SARSA,44,2,-1.3661260520662075,0.883420365535248
Expected SARSA,44,3,-0.0206937308060615,0.8238903394255874
Expected SARSA,44,4,-0.35409092984908136,0.7643603133159269
Expected SARSA,44,5,0.6076221894695791,0.7048302872062664
Expected SARSA,44,6,0.05583828395636211,0.6453002610966058
Expected SARSA,44,7,-1.4172264520443827,0.5857702349869451
Expected SARSA,44,8,1.0592719235762438,0.5262402088772846
Expected SARSA,44,9,-1.210880001990431,0.466710182767624
Expected SARSA,44,10,0.2583671283825358,0.4071801566579635
Expected SARSA,44,11,-0.7348235867334799,0.34765013054830296
Expected SARSA,44,12,-0.6168384844171969,0.28812010443864233
Expected SARSA,44,13,-2.480488389483548,0.22859007832898182
Expected SARSA,44,14,-1.3717368022837075,0.1690600522193212
Expected SARSA,44,15,-1.0044236858758249,0.10953002610966056
Expected SARSA,44,16,-0.412814895714708,0.050000000000000044
Expected SARSA,44,17,1.3166527777777777,0.050000000000000044
Expected SARSA,44,18,-2.0473630644947134,0.050000000000000044
Expected SARSA,44,19,0.8151800805738524,0.050000000000000044
Expected SARSA,44,20,0.23366737435147342,0.050000000000000044
Expected SARSA,55,1,1.1416180555555557,0.9429503916449086
Expected SARSA,55,2,0.15474126705950084,0.883420365535248
Expected SARSA,55,3,-0.32217716289846215,0.8238903394255874
Expected SARSA,55,4,1.0662653147737082,0.7643603133159269
Expected SARSA,55,5,-1.144588139174078,0.7048302872062664
Expected SARSA,55,6,-3.2680738512392993,0.6453002610966058
Expected SARSA,55,7,-1.8376709716588193,0.5857702349869451
Expected SARSA,55,8,1.1121601807656847,0.5262402088772846
Expected SARSA,55,9,-1.3681875848536826,0.466710182767624
Expected SARSA,55,10,1.1581805555555555,0.4071801566579635
Expected SARSA,55,11,1.1833333333333333,0.34765013054830296
Expected SARSA,55,12,0.3377089550429993,0.28812010443864233
Expected SARSA,55,13,0.47927574690876745,0.22859007832898182
Expected SARSA,55,14,-0.1331347572872932,0.1690600522193212
Expected SARSA,55,15,-0.6770917696627167,0.10953002610966056
Expected SARSA,55,16,-0.6276395075096466,0.050000000000000044
Expected SARSA,55,17,-0.8620722180201548,0.050000000000000044
Expected SARSA,55,18,-0.13488055460534606,0.050000000000000044
Expected SARSA,55,19,-0.9792684975680768,0.050000000000000044
Expected SARSA,55,20,1.2772974331819373,0.050000000000000044
Dyna-Q,11,1,-0.31855363671818654,0.9429503916449086
Dyna-Q,11,2,-2.8954085899776936,0.883420365535248
Dyna-Q,11,3,-1.2354751974169529,0.8238903394255874
Dyna-Q,11,4,-1.369891965600715,0.7643603133159269
Dyna-Q,11,5,-0.7338211958701368,0.7048302872062664
Dyna-Q,11,6,-1.849817560021698,0.6453002610966058
Dyna-Q,11,7,-0.31017746225427695,0.5857702349869451
Dyna-Q,11,8,0.16297486896979185,0.5262402088772846
Dyna-Q,11,9,1.0770586319331217,0.466710182767624
Dyna-Q,11,10,-2.715513638847567,0.4071801566579635
Dyna-Q,11,11,0.9772878303647898,0.34765013054830296
Dyna-Q,11,12,1.1331373117520507,0.28812010443864233
Dyna-Q,11,13,-1.9243228662633136,0.22859007832898182
Dyna-Q,11,14,-1.2184018965468004,0.1690600522193212
Dyna-Q,11,15,1.2327910530191457,0.10953002610966056
Dyna-Q,11,16,-0.5330070156995056,0.050000000000000044
Dyna-Q,11,17,0.4371564318236467,0.050000000000000044
Dyna-Q,11,18,0.682511965500486,0.050000000000000044
Dyna-Q,11,19,0.40646142860691364,0.050000000000000044
Dyna-Q,11,20,0.7167712986323708,0.050000000000000044
Dyna-Q,22,1,-2.903212683664929,0.9429503916449086
Dyna-Q,22,2,-0.2876825355472608,0.883420365535248
Dyna-Q,22,3,0.6224246375357576,0.8238903394255874
Dyna-Q,22,4,-0.7119364116570606,0.7643603133159269
Dyna-Q,22,5,-0.666053174147156,0.7048302872062664
Dyna-Q,22,6,-0.11341169422556303,0.6453002610966058
Dyna-Q,22,7,-1.5791008815727252,0.5857702349869451
Dyna-Q,22,8,-2.510466074159101,0.5262402088772846
Dyna-Q,22,9,-0.4237450545616836,0.466710182767624
Dyna-Q,22,10,1.1998819444444446,0.4071801566579635
Dyna-Q,22,11,-1.3728870294158142,0.34765013054830296
Dyna-Q,22,12,-2.447625161925546,0.28812010443864233
